Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2000","2000","index","130.12","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2001","2001","index","123.12","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2002","2002","index","120.9","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2003","2003","index","127.63","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2004","2004","index","129.92","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2005","2005","index","128","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2006","2006","index","141.02","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2007","2007","index","139.3","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2008","2008","index","92.91","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2009","2009","index","81.31","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2010","2010","index","86.83","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2011","2011","index","106.51","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2012","2012","index","103.71","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2013","2013","index","103.3","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2014","2014","index","102.89","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2015","2015","index","100.23","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2016","2016","index","96.88","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2017","2017","index","95.47","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2018","2018","index","94.11","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","265","Castor oil seed","2019","2019","index","92.41","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2000","2000","index","29.57","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2001","2001","index","29.01","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2002","2002","index","27.85","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2003","2003","index","27.66","Fc","Calculated data"
