Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2000","2000","kg CO2eq/kg product","0.308","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2001","2001","kg CO2eq/kg product","0.3077","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2002","2002","kg CO2eq/kg product","0.3328","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2003","2003","kg CO2eq/kg product","0.3446","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2004","2004","kg CO2eq/kg product","0.3311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2005","2005","kg CO2eq/kg product","0.3185","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2006","2006","kg CO2eq/kg product","0.3027","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2007","2007","kg CO2eq/kg product","0.3086","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2008","2008","kg CO2eq/kg product","0.297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2009","2009","kg CO2eq/kg product","0.3024","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2010","2010","kg CO2eq/kg product","0.2949","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2011","2011","kg CO2eq/kg product","0.2861","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2012","2012","kg CO2eq/kg product","0.278","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2013","2013","kg CO2eq/kg product","0.2701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.2705","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2015","2015","kg CO2eq/kg product","0.2408","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2016","2016","kg CO2eq/kg product","0.2399","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","1718","Cereals excluding rice","2017","2017","kg CO2eq/kg product","0.2352","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2000","2000","gigagrams","66273.6648","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2001","2001","gigagrams","66817.6884","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2002","2002","gigagrams","73337.715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2003","2003","gigagrams","73018.7738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2004","2004","gigagrams","76473.0488","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2005","2005","gigagrams","78348.9687","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2006","2006","gigagrams","81263.3836","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2007","2007","gigagrams","83098.7177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2008","2008","gigagrams","84850.174","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2009","2009","gigagrams","86372.5221","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2010","2010","gigagrams","88433.5084","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2011","2011","gigagrams","90712.229","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2012","2012","gigagrams","92865.3107","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2013","2013","gigagrams","94013.3703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2014","2014","gigagrams","94715.5622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2015","2015","gigagrams","98007.2198","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2016","2016","gigagrams","96821.401","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2017","2017","gigagrams","94759.8275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2000","2000","tonnes","215181638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2001","2001","tonnes","217167160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2002","2002","tonnes","220362867","A","Aggregate, may include official, semi-official, estimated or calculated data"
