Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2000","2000","kilotonnes","91593.6583","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2001","2001","kilotonnes","92380.6963","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2002","2002","kilotonnes","63354.1795","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2003","2003","kilotonnes","72570.6698","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2004","2004","kilotonnes","81954.6919","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2005","2005","kilotonnes","92486.5489","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2006","2006","kilotonnes","96834.6396","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2007","2007","kilotonnes","94424.4302","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2008","2008","kilotonnes","91743.798","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2009","2009","kilotonnes","94599.2665","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2010","2010","kilotonnes","98641.8476","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2011","2011","kilotonnes","102709.3702","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2012","2012","kilotonnes","106436.869","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2013","2013","kilotonnes","114545.5892","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2014","2014","kilotonnes","119819.5933","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2015","2015","kilotonnes","121526.4535","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2016","2016","kilotonnes","125207.3555","Fc","Calculated data"
"EM","Emissions shares","351","China","7273","Emissions (CO2)","6996","Farm-gate emissions","2017","2017","kilotonnes","128451.0687","Fc","Calculated data"
