Domain Code,Domain,Area Code (FAO),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2000","2000","3023","Labour force survey","%","53.3","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2000","2000","3043","ILO - ILO Modelled Estimates","%","60.7","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2001","2001","3043","ILO - ILO Modelled Estimates","%","57.9","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2002","2002","3043","ILO - ILO Modelled Estimates","%","55.1","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2003","2003","3023","Labour force survey","%","49.799999","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2003","2003","3043","ILO - ILO Modelled Estimates","%","52","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2004","2004","3043","ILO - ILO Modelled Estimates","%","48.8","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2005","2005","3023","Labour force survey","%","41.799999","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2005","2005","3043","ILO - ILO Modelled Estimates","%","45.4","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2006","2006","3023","Labour force survey","%","41.799999","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21126","Share of employment in crop and animal production, hunting and related service activities","21","Male","2006","2006","3023","Labour force survey","%","93.528595","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21114","Share of employment in forestry and logging","21","Male","2006","2006","3023","Labour force survey","%","0.397379","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21118","Share of employment in fishing and aquaculture","21","Male","2006","2006","3023","Labour force survey","%","6.074026","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21152","Share of employees in agriculture, forestry and fishing in total employees","21","Male","2006","2006","3023","Labour force survey","%","36.613255","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2006","2006","3043","ILO - ILO Modelled Estimates","%","42","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21069","Employment-to-population ratio by age, total (15+), rural areas","21","Male","2006","2006","3023","Labour force survey","%","85.11","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
