Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2015","2015","tonnes","267","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2016","2016","tonnes","76","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2017","2017","tonnes","153","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2018","2018","tonnes","74","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2019","2019","tonnes","11","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","862","Alfalfa meal and pellets","2020","2020","tonnes","5","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2015","2015","tonnes","25996","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2016","2016","tonnes","125","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2017","2017","tonnes","426","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2018","2018","tonnes","830","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2019","2019","tonnes","622","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","862","Alfalfa meal and pellets","2020","2020","tonnes","386","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2015","2015","tonnes","4352","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2016","2016","tonnes","8929","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2017","2017","tonnes","8161","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2018","2018","tonnes","355","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2019","2019","tonnes","143","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","231","Almonds shelled","2020","2020","tonnes","3058","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2015","2015","tonnes","266","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2016","2016","tonnes","185","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2017","2017","tonnes","99","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2018","2018","tonnes","171","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2019","2019","tonnes","274","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","231","Almonds shelled","2020","2020","tonnes","221","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2015","2015","tonnes","3193","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2016","2016","tonnes","3747","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2017","2017","tonnes","3497","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2018","2018","tonnes","1840","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2019","2019","tonnes","628","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","221","Almonds, with shell","2020","2020","tonnes","5611","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2015","2015","tonnes","13","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2016","2016","tonnes","67","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2017","2017","tonnes","10","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2018","2018","tonnes","30","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2019","2019","tonnes","229","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","221","Almonds, with shell","2020","2020","tonnes","40","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2015","2015","tonnes","34967","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2016","2016","tonnes","27859","","Official data"
